set,model,near_enrich_p,strict_anti_p
FULL set,MutCount,3.1763171503810467e-07,0.9255291644517375
FULL set,BLOSUM62,0.001862577239661346,0.845668617860797
FULL set,ESM-2,0.4500445100999062,0.07117706443553987
FULL set,AbLang,0.8694788206524816,0.03400316067842219
FULL set,AntiBERTy,0.9153055737132154,0.14960950009910995
FULL set,ESM-2_partial_rho,-0.1105404452952351,0.02347584608266656
HCDR3-only subset,MutCount,1.0571469280765964e-07,0.9498616817102016
HCDR3-only subset,BLOSUM62,0.0008887404919650972,0.8736664000122862
HCDR3-only subset,ESM-2,0.17508575813092386,0.12728678059448426
HCDR3-only subset,AbLang,0.7031863100837612,0.049495890730170244
HCDR3-only subset,AntiBERTy,0.7689191766981474,0.17725539561174014
HCDR3-only subset,ESM-2_partial_rho,-0.05686635950529408,0.2577066858953411
