method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
MutCount (0 labels),20,0,0.18,0.14210526315789473,0.07450000000000002,0.19605263157894734,0.4000000000000001,0.4000000000000001
Random,20,0,0.0,0.0,0.0,0.0,0.0,0.0
Ridge(one-hot),20,0,0.13333333333333333,0.10526315789473681,0.19,0.5,0.20000000000000004,0.8000000000000002
Ridge(compact),20,0,0.20000000000000004,0.15789473684210525,0.18000000000000002,0.47368421052631565,0.4000000000000001,0.5999999999999999
MutCount (0 labels),20,1,0.24166666666666664,0.17682926829268295,0.10700000000000001,0.2609756097560976,0.4000000000000001,0.4000000000000001
Random,20,1,0.03333333333333333,0.02439024390243903,0.020000000000000004,0.04878048780487806,0.0,0.20000000000000004
Ridge(one-hot),20,1,0.13333333333333333,0.09756097560975611,0.12999999999999998,0.3170731707317074,0.0,0.0
Ridge(compact),20,1,0.10000000000000002,0.07317073170731708,0.16000000000000003,0.39024390243902446,0.0,0.4000000000000001
MutCount (0 labels),20,2,0.24500000000000002,0.18374999999999994,0.10600000000000001,0.265,0.4000000000000001,0.4000000000000001
Random,20,2,0.03333333333333333,0.025000000000000005,0.04000000000000001,0.10000000000000002,0.0,0.0
Ridge(one-hot),20,2,0.20000000000000004,0.14999999999999997,0.10000000000000002,0.25,0.20000000000000004,0.20000000000000004
Ridge(compact),20,2,0.13333333333333333,0.10000000000000002,0.12999999999999998,0.32500000000000007,0.0,0.20000000000000004
MutCount (0 labels),20,3,0.23333333333333334,0.1707317073170732,0.10450000000000001,0.25487804878048786,0.4000000000000001,0.4000000000000001
Random,20,3,0.13333333333333333,0.09756097560975611,0.06000000000000001,0.14634146341463417,0.0,0.0
Ridge(one-hot),20,3,0.16666666666666663,0.12195121951219515,0.09000000000000001,0.21951219512195125,0.20000000000000004,0.20000000000000004
Ridge(compact),20,3,0.13333333333333333,0.09756097560975611,0.08000000000000002,0.19512195121951223,0.20000000000000004,0.20000000000000004
MutCount (0 labels),20,4,0.24,0.175609756097561,0.10800000000000001,0.26341463414634153,0.4000000000000001,0.4000000000000001
Random,20,4,0.10000000000000002,0.07317073170731708,0.08000000000000002,0.19512195121951223,0.0,0.0
Ridge(one-hot),20,4,0.13333333333333333,0.09756097560975611,0.12999999999999998,0.3170731707317074,0.0,0.20000000000000004
Ridge(compact),20,4,0.16666666666666663,0.12195121951219515,0.16000000000000003,0.39024390243902446,0.0,0.4000000000000001
MutCount (0 labels),20,5,0.24333333333333332,0.1738095238095238,0.10500000000000002,0.25,0.4000000000000001,0.4000000000000001
Random,20,5,0.0,0.0,0.020000000000000004,0.04761904761904763,0.0,0.20000000000000004
Ridge(one-hot),20,5,0.13333333333333333,0.09523809523809526,0.18000000000000002,0.42857142857142855,0.20000000000000004,0.4000000000000001
Ridge(compact),20,5,0.26666666666666666,0.19047619047619052,0.20000000000000004,0.47619047619047616,0.4000000000000001,0.5999999999999999
MutCount (0 labels),20,6,0.24,0.175609756097561,0.10650000000000001,0.2597560975609757,0.4000000000000001,0.4000000000000001
Random,20,6,0.06666666666666667,0.04878048780487806,0.04000000000000001,0.09756097560975611,0.0,0.20000000000000004
Ridge(one-hot),20,6,0.13333333333333333,0.09756097560975611,0.11000000000000001,0.26829268292682934,0.20000000000000004,0.4000000000000001
Ridge(compact),20,6,0.26666666666666666,0.19512195121951223,0.14000000000000004,0.3414634146341464,0.20000000000000004,0.8000000000000002
MutCount (0 labels),20,7,0.24666666666666667,0.17619047619047618,0.1075,0.25595238095238093,0.4000000000000001,0.4000000000000001
Random,20,7,0.0,0.0,0.010000000000000002,0.023809523809523815,0.0,0.20000000000000004
Ridge(one-hot),20,7,0.10000000000000002,0.07142857142857142,0.11000000000000001,0.2619047619047619,0.0,0.4000000000000001
Ridge(compact),20,7,0.26666666666666666,0.19047619047619052,0.14000000000000004,0.33333333333333326,0.4000000000000001,0.4000000000000001
MutCount (0 labels),20,8,0.23666666666666666,0.1731707317073171,0.10700000000000001,0.2609756097560976,0.4000000000000001,0.4000000000000001
Random,20,8,0.06666666666666667,0.04878048780487806,0.030000000000000006,0.07317073170731708,0.0,0.0
Ridge(one-hot),20,8,0.10000000000000002,0.07317073170731708,0.09000000000000001,0.21951219512195125,0.0,0.4000000000000001
Ridge(compact),20,8,0.26666666666666666,0.19512195121951223,0.14000000000000004,0.3414634146341464,0.4000000000000001,0.5999999999999999
MutCount (0 labels),20,9,0.23500000000000001,0.16785714285714284,0.10400000000000002,0.24761904761904763,0.4000000000000001,0.4000000000000001
Random,20,9,0.03333333333333333,0.023809523809523815,0.030000000000000006,0.07142857142857142,0.0,0.20000000000000004
Ridge(one-hot),20,9,0.16666666666666663,0.11904761904761904,0.11000000000000001,0.2619047619047619,0.20000000000000004,0.20000000000000004
Ridge(compact),20,9,0.20000000000000004,0.14285714285714285,0.19,0.4523809523809524,0.20000000000000004,0.5999999999999999
MutCount (0 labels),20,10,0.24,0.17142857142857143,0.10350000000000001,0.24642857142857144,0.4000000000000001,0.4000000000000001
Random,20,10,0.06666666666666667,0.04761904761904763,0.020000000000000004,0.04761904761904763,0.0,0.0
Ridge(one-hot),20,10,0.23333333333333334,0.16666666666666663,0.14999999999999997,0.3571428571428571,0.20000000000000004,0.4000000000000001
Ridge(compact),20,10,0.16666666666666663,0.11904761904761904,0.20000000000000004,0.47619047619047616,0.0,0.5999999999999999
