method,N,mean,ci,lo,hi,n_seeds,metric
MutCount (0 labels),20,0.23408333333333334,0.007225150153238485,0.22685818318009485,0.24130848348657183,20,near_P@30
MutCount (0 labels),50,0.229,0.009228580574238093,0.21977141942576192,0.2382285805742381,20,near_P@30
MutCount (0 labels),100,0.2166666666666667,0.012305179815524743,0.20436148685114197,0.22897184648219143,20,near_P@30
MutCount (0 labels),200,0.1996666666666667,0.01333175832802857,0.1863349083386381,0.21299842499469526,20,near_P@30
MutCount (0 labels),500,0.15733333333333333,0.016835222336254164,0.14049811099707915,0.1741685556695875,20,near_P@30
Random,20,0.05,0.018048537547467363,0.031951462452532636,0.06804853754746737,20,near_P@30
Random,50,0.026666666666666665,0.014685665525600957,0.011981001141065708,0.041352332192267624,20,near_P@30
Random,100,0.025,0.011488463575327965,0.013511536424672036,0.036488463575327965,20,near_P@30
Random,200,0.025,0.013300969493750604,0.011699030506249397,0.03830096949375061,20,near_P@30
Random,500,0.025,0.013300969493750604,0.011699030506249397,0.03830096949375061,20,near_P@30
Ridge(compact),20,0.2033333333333333,0.0250357218474134,0.1782976114859199,0.2283690551807467,20,near_P@30
Ridge(compact),50,0.2333333333333333,0.028830945038497514,0.2045023882948358,0.2621642783718308,20,near_P@30
Ridge(compact),100,0.21166666666666667,0.03523890393978213,0.17642776272688454,0.2469055706064488,20,near_P@30
Ridge(compact),200,0.20999999999999996,0.024674176192129166,0.1853258238078708,0.23467417619212913,20,near_P@30
Ridge(compact),500,0.20666666666666664,0.027880211599455425,0.17878645506721122,0.23454687826612206,20,near_P@30
Ridge(one-hot),20,0.16166666666666668,0.019700037106267183,0.1419666295603995,0.18136670377293387,20,near_P@30
Ridge(one-hot),50,0.20833333333333334,0.03380727974479299,0.17452605358854034,0.24214061307812634,20,near_P@30
Ridge(one-hot),100,0.21000000000000002,0.03550090683299388,0.17449909316700613,0.24550090683299391,20,near_P@30
Ridge(one-hot),200,0.19666666666666666,0.02548044084189039,0.17118622582477627,0.22214710750855704,20,near_P@30
Ridge(one-hot),500,0.2033333333333333,0.027186666838749637,0.17614666649458366,0.23052000017208296,20,near_P@30
MutCount (0 labels),20,0.38500000000000006,0.020234467727383555,0.3647655322726165,0.40523446772738364,20,strict_Recall@100
MutCount (0 labels),50,0.38500000000000006,0.020234467727383555,0.3647655322726165,0.40523446772738364,20,strict_Recall@100
MutCount (0 labels),100,0.4025,0.0344470531930412,0.3680529468069588,0.4369470531930412,20,strict_Recall@100
MutCount (0 labels),200,0.39,0.04038558019540265,0.34961441980459734,0.4303855801954027,20,strict_Recall@100
MutCount (0 labels),500,0.33245614035087717,0.1177143966698146,0.21474174368106258,0.45017053702069176,19,strict_Recall@100
Random,20,0.08000000000000002,0.04405699657680289,0.035943003423197124,0.12405699657680291,20,strict_Recall@100
Random,50,0.09000000000000001,0.053013523597385294,0.03698647640261472,0.1430135235973853,20,strict_Recall@100
Random,100,0.05500000000000001,0.04318793691225412,0.011812063087745885,0.09818793691225414,20,strict_Recall@100
Random,200,0.155,0.07591417283634787,0.07908582716365213,0.23091417283634785,20,strict_Recall@100
Random,500,0.06929824561403508,0.06301227418629911,0.006285971427735973,0.1323105198003342,19,strict_Recall@100
Ridge(compact),20,0.425,0.0773942062295023,0.3476057937704977,0.5023942062295023,20,strict_Recall@100
Ridge(compact),50,0.52,0.08118729483179779,0.43881270516820226,0.6011872948317978,20,strict_Recall@100
Ridge(compact),100,0.4925,0.12092183425668,0.37157816574332,0.61342183425668,20,strict_Recall@100
Ridge(compact),200,0.6033333333333333,0.09639944432151605,0.5069338890118172,0.6997327776548493,20,strict_Recall@100
Ridge(compact),500,0.8710526315789474,0.10041676499456452,0.7706358665843829,0.971469396573512,19,strict_Recall@100
Ridge(one-hot),20,0.34750000000000003,0.07090979815007381,0.2765902018499262,0.41840979815007384,20,strict_Recall@100
Ridge(one-hot),50,0.36750000000000005,0.07329339382882585,0.2942066061711742,0.4407933938288259,20,strict_Recall@100
Ridge(one-hot),100,0.47750000000000004,0.09364136231837993,0.3838586376816201,0.57114136231838,20,strict_Recall@100
Ridge(one-hot),200,0.5366666666666666,0.10098063736581886,0.43568602930084777,0.6376473040324855,20,strict_Recall@100
Ridge(one-hot),500,0.8271929824561404,0.117521717387293,0.7096712650688474,0.9447146998434334,19,strict_Recall@100
