method,N,mean,ci,lo,hi,n_seeds,metric
C1-Rank(parent-Δ),20,0.23166666666666663,0.03367411416670497,0.19799255249996167,0.2653407808333716,20,near_P@30
C1-Rank(parent-Δ),50,0.2683333333333333,0.01981374677852496,0.24851958655480835,0.2881470801118583,20,near_P@30
C1-Rank(parent-Δ),100,0.27499999999999997,0.025469417505513833,0.24953058249448612,0.3004694175055138,20,near_P@30
C1-Rank(parent-Δ),200,0.30333333333333334,0.027596745295001602,0.27573658803833173,0.33093007862833496,20,near_P@30
C1-Rank(parent-Δ),500,0.32999999999999996,0.025035721847413404,0.30496427815258653,0.3550357218474134,20,near_P@30
GP(compact),20,0.255,0.030450999849148876,0.22454900015085114,0.2854509998491489,20,near_P@30
GP(compact),50,0.24499999999999997,0.028547082275300006,0.21645291772469996,0.2735470822753,20,near_P@30
GP(compact),100,0.2866666666666666,0.023887729606034,0.2627789370606326,0.31055439627270065,20,near_P@30
GP(compact),200,0.31499999999999995,0.01923847874254836,0.2957615212574516,0.3342384787425483,20,near_P@30
GP(compact),500,0.35333333333333333,0.02341277703850979,0.32992055629482353,0.37674611037184313,20,near_P@30
MutCount (0 labels),20,0.15666666666666665,0.0,0.15666666666666665,0.15666666666666665,20,near_P@30
MutCount (0 labels),50,0.15666666666666665,0.0,0.15666666666666665,0.15666666666666665,20,near_P@30
MutCount (0 labels),100,0.15666666666666665,0.0,0.15666666666666665,0.15666666666666665,20,near_P@30
MutCount (0 labels),200,0.15666666666666665,0.0,0.15666666666666665,0.15666666666666665,20,near_P@30
MutCount (0 labels),500,0.15666666666666665,0.0,0.15666666666666665,0.15666666666666665,20,near_P@30
Random,20,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,50,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,100,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,200,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,500,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Ridge(compact),20,0.23833333333333334,0.025645222301640985,0.21268811103169236,0.2639785556349743,20,near_P@30
Ridge(compact),50,0.255,0.024295697884039347,0.23070430211596066,0.27929569788403935,20,near_P@30
Ridge(compact),100,0.3083333333333333,0.027176335595040565,0.2811569977382927,0.33550966892837386,20,near_P@30
Ridge(compact),200,0.3233333333333333,0.017155116195931366,0.30617821713740195,0.34048844952926466,20,near_P@30
Ridge(compact),500,0.37499999999999994,0.018884908421326063,0.3561150915786739,0.393884908421326,20,near_P@30
