method,N,mean,ci,lo,hi,n_seeds,metric
MutCount (0 labels),20,0.15666666666666665,0.0,0.15666666666666665,0.15666666666666665,20,near_P@30
MutCount (0 labels),50,0.15666666666666665,0.0,0.15666666666666665,0.15666666666666665,20,near_P@30
MutCount (0 labels),100,0.15666666666666665,0.0,0.15666666666666665,0.15666666666666665,20,near_P@30
MutCount (0 labels),200,0.15666666666666665,0.0,0.15666666666666665,0.15666666666666665,20,near_P@30
MutCount (0 labels),500,0.15666666666666665,0.0,0.15666666666666665,0.15666666666666665,20,near_P@30
Random,20,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,50,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,100,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,200,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,500,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Ridge(AbLang emb),20,0.2,0.028830945038497532,0.17116905496150248,0.22883094503849755,20,near_P@30
Ridge(AbLang emb),50,0.24833333333333335,0.01923847874254836,0.229094854590785,0.2675718120758817,20,near_P@30
Ridge(AbLang emb),100,0.25999999999999995,0.023981591380602706,0.23601840861939724,0.28398159138060264,20,near_P@30
Ridge(AbLang emb),200,0.2633333333333333,0.0226817081155925,0.2406516252177408,0.2860150414489258,20,near_P@30
Ridge(AbLang emb),500,0.30166666666666664,0.017398924481111317,0.28426774218555534,0.31906559114777794,20,near_P@30
Ridge(ESM-2 emb),20,0.18666666666666668,0.04169927425848332,0.14496739240818335,0.22836594092515,20,near_P@30
Ridge(ESM-2 emb),50,0.24333333333333332,0.029637829469657758,0.21369550386367556,0.27297116280299105,20,near_P@30
Ridge(ESM-2 emb),100,0.2633333333333333,0.025480440841890384,0.23785289249144292,0.2888137741752237,20,near_P@30
Ridge(ESM-2 emb),200,0.26666666666666666,0.018959112669541624,0.24770755399712505,0.2856257793362083,20,near_P@30
Ridge(ESM-2 emb),500,0.29,0.026004066258727775,0.2639959337412722,0.31600406625872773,20,near_P@30
Ridge(compact),20,0.23833333333333334,0.025645222301640985,0.21268811103169236,0.2639785556349743,20,near_P@30
Ridge(compact),50,0.255,0.024295697884039347,0.23070430211596066,0.27929569788403935,20,near_P@30
Ridge(compact),100,0.3083333333333333,0.027176335595040565,0.2811569977382927,0.33550966892837386,20,near_P@30
Ridge(compact),200,0.3233333333333333,0.017155116195931366,0.30617821713740195,0.34048844952926466,20,near_P@30
Ridge(compact),500,0.37499999999999994,0.018884908421326063,0.3561150915786739,0.393884908421326,20,near_P@30
MutCount (0 labels),20,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),50,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),100,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),200,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),500,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
Random,20,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,50,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,100,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,200,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,500,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Ridge(AbLang emb),20,0.6499999999999999,0.0689307814519678,0.5810692185480321,0.7189307814519678,20,strict_Recall@100
Ridge(AbLang emb),50,0.78,0.07993239248528129,0.7000676075147187,0.8599323924852813,20,strict_Recall@100
Ridge(AbLang emb),100,0.78,0.10214194457765752,0.6778580554223426,0.8821419445776575,20,strict_Recall@100
Ridge(AbLang emb),200,0.93,0.05146534858779406,0.878534651412206,0.9814653485877941,20,strict_Recall@100
Ridge(AbLang emb),500,0.99,0.019599999999999992,0.9704,1.0096,20,strict_Recall@100
Ridge(ESM-2 emb),20,0.61,0.08753845470781157,0.5224615452921884,0.6975384547078116,20,strict_Recall@100
Ridge(ESM-2 emb),50,0.67,0.08180752764231036,0.5881924723576897,0.7518075276423104,20,strict_Recall@100
Ridge(ESM-2 emb),100,0.72,0.09171195181252638,0.6282880481874736,0.8117119518125263,20,strict_Recall@100
Ridge(ESM-2 emb),200,0.8800000000000001,0.059653455363810275,0.8203465446361898,0.9396534553638104,20,strict_Recall@100
Ridge(ESM-2 emb),500,0.9800000000000001,0.026979290303178045,0.9530207096968221,1.0069792903031782,20,strict_Recall@100
Ridge(compact),20,0.6900000000000001,0.11187282253100005,0.578127177469,0.8018728225310001,20,strict_Recall@100
Ridge(compact),50,0.8400000000000001,0.09258959814261279,0.7474104018573873,0.9325895981426129,20,strict_Recall@100
Ridge(compact),100,0.9100000000000001,0.04474009152285767,0.8652599084771425,0.9547400915228578,20,strict_Recall@100
Ridge(compact),200,0.9800000000000001,0.026979290303178038,0.9530207096968221,1.0069792903031782,20,strict_Recall@100
Ridge(compact),500,0.99,0.019599999999999992,0.9704,1.0096,20,strict_Recall@100
