eval_idx,min_hamming_to_pool,is_strict_improver
0,2,1
1,3,1
2,4,1
3,3,1
4,2,1
5,1,0
6,2,0
9,5,0
10,4,0
11,2,0
12,4,0
13,3,0
14,2,0
17,3,0
19,1,0
23,3,0
24,1,0
27,1,0
28,1,0
31,3,0
35,2,0
37,1,0
40,2,0
41,2,0
42,1,0
44,3,0
47,1,0
50,3,0
51,1,0
52,5,0
57,5,0
58,4,0
59,7,0
60,2,0
61,3,0
66,2,0
67,2,0
68,2,0
71,6,0
72,1,0
74,2,0
77,4,0
80,1,0
81,4,0
89,2,0
90,1,0
91,1,0
95,2,0
97,5,0
109,2,0
113,6,0
114,3,0
117,3,0
119,3,0
120,1,0
121,4,0
123,3,0
125,2,0
126,1,0
129,4,0
130,3,0
131,2,0
133,4,0
135,2,0
140,2,0
141,1,0
142,1,0
144,6,0
146,4,0
147,5,0
152,1,0
153,1,0
157,3,0
158,3,0
161,2,0
163,1,0
166,3,0
176,2,0
179,2,0
181,2,0
183,1,0
189,2,0
191,2,0
194,2,0
195,2,0
197,8,0
199,6,0
202,3,0
203,9,0
206,1,0
207,3,0
213,3,0
216,3,0
217,2,0
220,7,0
225,7,0
228,6,0
232,4,0
235,1,0
236,5,0
237,6,0
239,6,0
240,2,0
245,3,0
246,5,0
248,8,0
251,5,0
253,2,0
258,3,0
259,6,0
265,3,0
275,2,0
278,3,0
280,9,0
282,5,0
288,4,0
293,6,0
294,3,0
295,2,0
303,3,0
305,6,0
307,7,0
308,5,0
309,5,0
310,6,0
312,5,0
313,3,0
314,5,0
319,6,0
320,5,0
323,4,0
324,1,0
326,7,0
329,4,0
330,1,0
331,4,0
332,6,0
334,3,0
335,5,0
336,2,0
339,2,0
341,1,0
342,5,0
346,3,0
347,6,0
349,3,0
353,3,0
355,5,0
356,2,0
357,7,0
362,6,0
364,2,0
369,1,0
371,6,0
374,2,0
381,3,0
382,2,0
383,3,0
388,3,0
393,1,0
395,2,0
397,2,0
398,2,0
406,1,0
410,1,0
411,1,0
412,0,0
413,0,0
414,1,0
418,2,0
421,9,0
422,5,0
425,7,0
426,8,0
428,8,0
430,9,0
432,3,0
434,5,0
435,5,0
437,4,0
438,6,0
441,7,0
447,5,0
451,7,0
454,5,0
455,5,0
457,8,0
459,9,0
460,3,0
465,5,0
468,6,0
469,4,0
470,8,0
472,6,0
