method,N,mean,ci,lo,hi,n_seeds,metric
MutCount (0 labels),20,0.24333333333333335,0.0,0.24333333333333335,0.24333333333333335,20,near_P@30
MutCount (0 labels),50,0.24333333333333335,0.0,0.24333333333333335,0.24333333333333335,20,near_P@30
MutCount (0 labels),100,0.24333333333333335,0.0,0.24333333333333335,0.24333333333333335,20,near_P@30
MutCount (0 labels),200,0.24333333333333335,0.0,0.24333333333333335,0.24333333333333335,20,near_P@30
MutCount (0 labels),500,0.24333333333333335,0.0,0.24333333333333335,0.24333333333333335,20,near_P@30
Random,20,0.075,0.017655276036636317,0.05734472396336368,0.09265527603663631,20,near_P@30
Random,50,0.075,0.017655276036636317,0.05734472396336368,0.09265527603663631,20,near_P@30
Random,100,0.075,0.017655276036636317,0.05734472396336368,0.09265527603663631,20,near_P@30
Random,200,0.075,0.017655276036636317,0.05734472396336368,0.09265527603663631,20,near_P@30
Random,500,0.075,0.017655276036636317,0.05734472396336368,0.09265527603663631,20,near_P@30
Ridge(compact),20,0.23500000000000001,0.030890483782292786,0.20410951621770723,0.2658904837822928,20,near_P@30
Ridge(compact),50,0.2033333333333333,0.035437568857777296,0.16789576447555601,0.2387709021911106,20,near_P@30
Ridge(compact),100,0.2033333333333333,0.028000818701481144,0.17533251463185218,0.23133415203481444,20,near_P@30
Ridge(compact),200,0.22000000000000003,0.02779951617232223,0.1922004838276778,0.24779951617232227,20,near_P@30
Ridge(compact),500,0.18,0.017350436905701067,0.16264956309429893,0.19735043690570106,20,near_P@30
MutCount (0 labels),20,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),50,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),100,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),200,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),500,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
Random,20,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,50,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,100,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,200,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,500,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Ridge(compact),20,0.44000000000000006,0.05395858060635611,0.38604141939364395,0.49395858060635617,20,strict_Recall@100
Ridge(compact),50,0.5700000000000001,0.07123872394613537,0.49876127605386467,0.6412387239461355,20,strict_Recall@100
Ridge(compact),100,0.56,0.11586794661437466,0.4441320533856254,0.6758679466143747,20,strict_Recall@100
Ridge(compact),200,0.6599999999999999,0.07023833111552935,0.5897616688844706,0.7302383311155293,20,strict_Recall@100
Ridge(compact),500,0.7,0.09215181981239895,0.607848180187601,0.7921518198123989,20,strict_Recall@100
