tier,Model,median_rank,P@30,Recall@100,MW_p_enrich,MW_p_anti
strict,MutCount,579.5,0.06666666666666667,0.4000000000000001,0.07464571540115385,0.9255291644517375
strict,BLOSUM62,271.0,0.0,0.0,0.15462317676328552,0.845668617860797
strict,ESM-2,945.0,0.0,0.0,0.9289894714548744,0.07117706443553987
strict,AbLang,959.0,0.0,0.0,0.9660892188917792,0.03400316067842219
strict,AntiBERTy,1106.0,0.0,0.0,0.8506755886602921,0.14960950009910995
strict,AntiFold-crystal,670.0,0.0,0.20000000000000004,0.2370671064375332,0.7633111875094445
near,MutCount,330.5,0.23833333333333334,0.25,3.1763171503810467e-07,0.9999996830808396
near,BLOSUM62,458.25,0.0,0.10714285714285714,0.001862577239661346,0.998139975567386
near,ESM-2,628.0,0.0,0.04761904761904763,0.4500445100999062,0.5501253778514559
near,AbLang,812.0,0.0,0.04761904761904763,0.8694788206524816,0.1306122538835966
near,AntiBERTy,700.5,0.0,0.07142857142857142,0.9153055737132154,0.084761057317086
near,AntiFold-crystal,486.0,0.0,0.023809523809523815,0.011921010752180456,0.9880923126014123
