section,metric,model,tier,N,value
count_corr,spearman_HCDR3_vs_fullCDR_mutcount,,,,0.7485868876685532
enrichment,MW_p_enrich,AntiFold-crystal(HCDR3),near,,0.011921010752180456
enrichment,MW_p_enrich,AntiFold-crystal(HCDR3),strict,,0.2370671064375332
enrichment,MW_p_enrich,AntiFold-fullCDR,near,,0.0002737720821172695
enrichment,MW_p_enrich,AntiFold-fullCDR,strict,,0.15053583906419252
enrichment,MW_p_enrich,MutCount(HCDR3),near,,3.1763171503810467e-07
enrichment,MW_p_enrich,MutCount(HCDR3),strict,,0.07464571540115385
enrichment,MW_p_enrich,MutCount(fullCDR),near,,1.234012497208082e-10
enrichment,MW_p_enrich,MutCount(fullCDR),strict,,0.023352933735435268
enrichment,MW_p_enrich,BLOSUM62,near,,0.001862577239661346
enrichment,MW_p_enrich,BLOSUM62,strict,,0.15462317676328552
partial_corr,antifold_fullcdr_raw_rho,AntiFold-fullCDR,binders,420,0.13506108942124812
partial_corr,antifold_fullcdr_raw_p,AntiFold-fullCDR,binders,420,0.005564579354921132
partial_corr,antifold_fullcdr_partial_rho_ctrl_HCDR3,AntiFold-fullCDR,binders,420,0.0031092870125694894
partial_corr,antifold_fullcdr_partial_p_ctrl_HCDR3,AntiFold-fullCDR,binders,420,0.9493431426842747
partial_corr,antifold_fullcdr_partial_rho_ctrl_fullCDR,AntiFold-fullCDR,binders,420,-0.07394489449555683
partial_corr,antifold_fullcdr_partial_p_ctrl_fullCDR,AntiFold-fullCDR,binders,420,0.1302860294956103
partial_corr,antifold_fullcdr_rho_vs_fullCDR_mutcount,AntiFold-fullCDR,binders,420,-0.7077857975242862
tier3_ci,strict_Recall@100_mean,Ridge(full-CDR),d>=3,50,0.53
tier3_ci,strict_Recall@100_ci95,Ridge(full-CDR),d>=3,50,0.09963685642318677
tier3_ci,strict_Recall@100_mean,MutCount,d>=3,50,0.4000000000000001
tier3_ci,strict_Recall@100_ci95,MutCount,d>=3,50,0.0
tier3_ci,gap_Ridge_minus_Mut,,d>=3,50,0.12999999999999995
tier3_ci,gap_ci95,,d>=3,50,0.09963685642318677
tier3_ci,strict_Recall@100_mean,Ridge(full-CDR),d>=3,100,0.47000000000000003
tier3_ci,strict_Recall@100_ci95,Ridge(full-CDR),d>=3,100,0.07123872394613537
tier3_ci,strict_Recall@100_mean,MutCount,d>=3,100,0.4000000000000001
tier3_ci,strict_Recall@100_ci95,MutCount,d>=3,100,0.0
tier3_ci,gap_Ridge_minus_Mut,,d>=3,100,0.06999999999999995
tier3_ci,gap_ci95,,d>=3,100,0.07123872394613537
tier3_ci,strict_Recall@100_mean,Ridge(full-CDR),d>=3,500,0.53
tier3_ci,strict_Recall@100_ci95,Ridge(full-CDR),d>=3,500,0.07123872394613537
tier3_ci,strict_Recall@100_mean,MutCount,d>=3,500,0.4000000000000001
tier3_ci,strict_Recall@100_ci95,MutCount,d>=3,500,0.0
tier3_ci,gap_Ridge_minus_Mut,,d>=3,500,0.12999999999999995
tier3_ci,gap_ci95,,d>=3,500,0.07123872394613537
inflation,rho_d1_fullCDR,,,,0.68
inflation,rho_dge5_fullCDR,,,,0.48
inflation,inflation_fullCDR,,,,1.4166666666666667
inflation,rho_d1_HCDR3,,,,0.81
inflation,rho_dge5_HCDR3,,,,0.46
inflation,inflation_HCDR3,,,,1.7608695652173914
