check,metric,N,Ridge,MutCount,min_dist
E2f_d1,strict_Recall@100,50,0.7,0.4000000000000001,2
E2f_d1,strict_Recall@100,100,0.74,0.4000000000000001,2
E2f_d1,strict_Recall@100,500,0.9200000000000002,0.4000000000000001,2
E2f_d1,near_P@30,50,0.21333333333333332,0.13333333333333333,2
E2f_d1,near_P@30,100,0.21166666666666667,0.13333333333333333,2
E2f_d1,near_P@30,500,0.27999999999999997,0.13333333333333333,2
E2f_d2,strict_Recall@100,50,0.53,0.4000000000000001,3
E2f_d2,strict_Recall@100,100,0.47000000000000003,0.4000000000000001,3
E2f_d2,strict_Recall@100,500,0.53,0.4000000000000001,3
E2f_d2,near_P@30,50,0.15666666666666668,0.24,3
E2f_d2,near_P@30,100,0.145,0.24,3
E2f_d2,near_P@30,500,0.145,0.24,3
