check,param,model,value,n_pos
near_cutoff,0.05,MutCount,0.0006682979082432804,21
near_cutoff,0.05,BLOSUM62,0.0628312452551322,21
near_cutoff,0.05,ESM-2,0.9773168637292199,21
near_cutoff,0.05,AbLang,0.9963007566342951,21
near_cutoff,0.05,AntiBERTy,0.9810750759719632,21
near_cutoff,0.1,MutCount,3.1763171503810467e-07,42
near_cutoff,0.1,BLOSUM62,0.001862577239661346,42
near_cutoff,0.1,ESM-2,0.4500445100999062,42
near_cutoff,0.1,AbLang,0.8694788206524816,42
near_cutoff,0.1,AntiBERTy,0.9153055737132154,42
near_cutoff,0.2,MutCount,4.112462760450374e-11,84
near_cutoff,0.2,BLOSUM62,1.8582056552040478e-05,84
near_cutoff,0.2,ESM-2,0.06206926904986104,84
near_cutoff,0.2,AbLang,0.4333457485996168,84
near_cutoff,0.2,AntiBERTy,0.6902233983204381,84
floor,0.5,Ridge-vs-Mut,0.36999999999999994,5
floor,1.0,Ridge-vs-Mut,0.35000000000000003,5
floor,2.0,Ridge-vs-Mut,0.35000000000000003,5
